$CASNumber$,$IngredientName$,$bgCAS$,$category$,$is_new$,$clean_wo_work$,$on_ref_list$,$close_syn$,$comment$
$0.11444$,$100.00$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.15$,$10049-04-4$,$10049-04-4$,$CAS in IngredientName$,$False$,,,$chlorine oxide (clo2) $,$bgCAS pulled from IngredientName field$
$0.15$,$107-21-1$,$107-21-1$,$CAS in IngredientName$,$False$,,,$1,2-ethanediol $,$bgCAS pulled from IngredientName field$
$0.15$,$111-30-8$,$111-30-8$,$CAS in IngredientName$,$False$,,,$pentanedial $,$bgCAS pulled from IngredientName field$
$0.15$,$111-76-2$,$111-76-2$,$CAS in IngredientName$,$False$,,,$ethanol, 2-butoxy- $,$bgCAS pulled from IngredientName field$
$0.15$,$112-27-6$,$112-27-6$,$CAS in IngredientName$,$False$,,,$ethanol, 2,2'-[1,2-ethanediylbis(ox $,$bgCAS pulled from IngredientName field$
$0.15$,$14808-60-7$,$14808-60-7$,$CAS in IngredientName$,$False$,,,$quartz (sio2) $,$bgCAS pulled from IngredientName field$
$0.15$,$27176-87-0$,$27176-87-0$,$CAS in IngredientName$,$False$,,,$benzenesulfonic acid, dodecyl-$,$bgCAS pulled from IngredientName field$
$0.15$,$56-81-5$,$56-81-5$,$CAS in IngredientName$,$False$,,,$1,2,3-propanetriol $,$bgCAS pulled from IngredientName field$
$0.15$,$64-19-7$,$64-19-7$,$CAS in IngredientName$,$False$,,,$acetic acid $,$bgCAS pulled from IngredientName field$
$0.15$,$67-56-1$,$67-56-1$,$CAS in IngredientName$,$False$,,,$methanol $,$bgCAS pulled from IngredientName field$
$0.15$,$67-63-0$,$67-63-0$,$CAS in IngredientName$,$False$,,,$2-propanol $,$bgCAS pulled from IngredientName field$
$0.15$,$7647-01-0$,$7647-01-0$,$CAS in IngredientName$,$False$,,,$hydrochloric acid $,$bgCAS pulled from IngredientName field$
$0.15$,$79-14-1$,$79-14-1$,$CAS in IngredientName$,$False$,,,$acetic acid, 2-hydroxy- $,$bgCAS pulled from IngredientName field$
$0.15$,$9012-54-8$,$9012-54-8$,$CAS in IngredientName$,$False$,,,$cellulase $,$bgCAS pulled from IngredientName field$
$0.15$,$proprietary$,$proprietary$,$proprietary$,$False$,,,,
$0.15$,$trade secret (cid:787)$,$proprietary$,$proprietary$,$False$,,,,
$0.16$,$trade secret$,$proprietary$,$proprietary$,$False$,,,,
$0.17$,$7647-01-0$,$7647-01-0$,$CAS in IngredientName$,$False$,,,$hydrochloric acid $,$bgCAS pulled from IngredientName field$
$0.2$,$1310-58-3$,$1310-58-3$,$CAS in IngredientName$,$False$,,,$potassium hydroxide (k(oh)) $,$bgCAS pulled from IngredientName field$
$0.2$,$584-08-7$,$584-08-7$,$CAS in IngredientName$,$False$,,,$carbonic acid, potassium salt (1:2) $,$bgCAS pulled from IngredientName field$
$0.2$,$9016-45-9$,$9016-45-9$,$CAS in IngredientName$,$False$,,,$poly(oxy-1,2-ethanediyl), î±-(nonylphenyl)-ï‰-hydroxy- $,$bgCAS pulled from IngredientName field$
$0.2$,$proprietary$,$proprietary$,$proprietary$,$False$,,,,
$0.21097$,$sodium hydroxide$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.24$,$533-74-4$,$533-74-4$,$CAS in IngredientName$,$False$,,,$2h-1,3,5-thiadiazine-2-thione, tetrahydro-3,5-dimethyl- $,$bgCAS pulled from IngredientName field$
$0.24$,$MISSING$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.24$,$missing$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.25$,$10043-35-3$,$10043-35-3$,$CAS in IngredientName$,$False$,,,$boric acid (h3bo3) $,$bgCAS pulled from IngredientName field$
$0.25$,$107-21-1$,$107-21-1$,$CAS in IngredientName$,$False$,,,$1,2-ethanediol $,$bgCAS pulled from IngredientName field$
$0.25$,$112-27-6$,$112-27-6$,$CAS in IngredientName$,$False$,,,$ethanol, 2,2'-[1,2-ethanediylbis(ox $,$bgCAS pulled from IngredientName field$
$0.25$,$1310-58-3$,$1310-58-3$,$CAS in IngredientName$,$False$,,,$potassium hydroxide (k(oh)) $,$bgCAS pulled from IngredientName field$
$0.25$,$13709-94-9$,$13709-94-9$,$CAS in IngredientName$,$False$,,,$boric acid (hbo2), potassium salt (1:1) $,$bgCAS pulled from IngredientName field$
$0.25$,$64-17-5$,$64-17-5$,$CAS in IngredientName$,$False$,,,$ethanol $,$bgCAS pulled from IngredientName field$
$0.25$,$68603-42-9$,$68603-42-9$,$CAS in IngredientName$,$False$,,,$amides, coco, n,n-bis(hydroxyethy$,$bgCAS pulled from IngredientName field$
$0.25$,$7727-54-0$,$7727-54-0$,$CAS in IngredientName$,$False$,,,$peroxydisulfuric acid ([(ho)s(o)2]2o2), ammonium salt (1:2) $,$bgCAS pulled from IngredientName field$
$0.25$,$7732-18-5$,$7732-18-5$,$CAS in IngredientName$,$False$,,,$water$,$bgCAS pulled from IngredientName field$
$0.25$,$proprietary$,$proprietary$,$proprietary$,$False$,,,,
$0.3$,$13709-94-9$,$13709-94-9$,$CAS in IngredientName$,$False$,,,$boric acid (hbo2), potassium salt (1:1) $,$bgCAS pulled from IngredientName field$
$0.3$,$16887-00-6$,$16887-00-6$,$CAS in IngredientName$,$False$,,,$chloride $,$bgCAS pulled from IngredientName field$
$0.3$,$64742-47-8$,$64742-47-8$,$CAS in IngredientName$,$False$,,,$distillates (petroleum), hydrotreated light $,$bgCAS pulled from IngredientName field$
$0.3$,$67-56-1$,$67-56-1$,$CAS in IngredientName$,$False$,,,$methanol $,$bgCAS pulled from IngredientName field$
$0.3$,$67-63-0$,$67-63-0$,$CAS in IngredientName$,$False$,,,$2-propanol $,$bgCAS pulled from IngredientName field$
$0.3$,$75-12-7$,$75-12-7$,$CAS in IngredientName$,$False$,,,$formamide $,$bgCAS pulled from IngredientName field$
$0.3$,$7732-18-5$,$7732-18-5$,$CAS in IngredientName$,$False$,,,$water$,$bgCAS pulled from IngredientName field$
$0.3$,$proprietary$,$proprietary$,$proprietary$,$False$,,,,
$0.35$,$1310-73-2$,$1310-73-2$,$CAS in IngredientName$,$False$,,,$sodium hydroxide (na(oh)) $,$bgCAS pulled from IngredientName field$
$0.35$,$7647-01-0$,$7647-01-0$,$CAS in IngredientName$,$False$,,,$hydrochloric acid $,$bgCAS pulled from IngredientName field$
$0.38$,$7732-18-5$,$7732-18-5$,$CAS in IngredientName$,$False$,,,$water$,$bgCAS pulled from IngredientName field$
$0.4$,$107-21-1$,$107-21-1$,$CAS in IngredientName$,$False$,,,$1,2-ethanediol $,$bgCAS pulled from IngredientName field$
$0.4$,$13709-94-9$,$13709-94-9$,$CAS in IngredientName$,$False$,,,$boric acid (hbo2), potassium salt (1:1) $,$bgCAS pulled from IngredientName field$
$0.4$,$67-48-1$,$67-48-1$,$CAS in IngredientName$,$False$,,,$ethanaminium, 2-hydroxy-n,n,n-trimethyl-, chloride (1:1) $,$bgCAS pulled from IngredientName field$
$0.4$,$68603-42-9$,$68603-42-9$,$CAS in IngredientName$,$False$,,,$amides, coco, n,n-bis(hydroxyethy$,$bgCAS pulled from IngredientName field$
$0.4$,$7772-98-7$,$7772-98-7$,$CAS in IngredientName$,$False$,,,$thiosulfuric acid (h2s2o3), sodium salt (1:2) $,$bgCAS pulled from IngredientName field$
$0.4$,$proprietary$,$proprietary$,$proprietary$,$False$,,,,
$0.5$,$1310-58-3$,$1310-58-3$,$CAS in IngredientName$,$False$,,,$potassium hydroxide (k(oh)) $,$bgCAS pulled from IngredientName field$
$0.5$,$1319-33-1$,$1319-33-1$,$CAS in IngredientName$,$False$,,,$ulexite (canah12(bo3)5.2h2o) (9ci) $,$bgCAS pulled from IngredientName field$
$0.5$,$64-17-5$,$64-17-5$,$CAS in IngredientName$,$False$,,,$ethanol $,$bgCAS pulled from IngredientName field$
