$rawName$,$cleanName$,$xlateName$,$status$
$American Energy - Woodford, LLC$,$american energy - woodford, llc$,$american energy$,$curated$
$American Energy Partners$,$american energy partners$,$american energy$,$curated$
$AMERICAN ENERGY PARTNERS-OK CITY$,$american energy partners-ok city$,$american energy$,$curated$
$American Energy Permain Basin$,$american energy permain basin$,$american energy$,$curated$
$American Energy Permian Basin$,$american energy permian basin$,$american energy$,$curated$
$American Energy Utica$,$american energy utica$,$american energy$,$curated$
$American Energy Utica LLC$,$american energy utica llc$,$americo energy resources$,$curated$
$American International Sealing$,$american international sealing$,$ai-sealing$,$curated$
$American International sealing LLC$,$american international sealing llc$,$ai-sealing$,$curated$
$American Petroleum Partners Operating, LL$,$american petroleum partners operating, ll$,$american petroleum$,$curated$
$American Resource Development (Ameredev)$,$american resource development (ameredev)$,$american resource development$,$curated$
$American Resource Development, LLC$,$american resource development, llc$,$american resource development$,$curated$
$AmeriChem$,$americhem$,$americhem$,$curated$
$Americhem$,$americhem$,$americhem$,$curated$
$Americhem International$,$americhem international$,$americhem$,$curated$
$Americhem International LLC$,$americhem international llc$,$americhem$,$curated$
$Americo Energy Resources$,$americo energy resources$,$americo energy resources$,$curated$
$Americo Energy Resources, LLC$,$americo energy resources, llc$,$americo energy resources$,$curated$
$Amistad Energy Services, LLC$,$amistad energy services, llc$,$amistad energy services$,$curated$
$AMMA$,$amma$,$amma products$,$curated$
$AMMA PRODUCTS$,$amma products$,$amma products$,$curated$
$Ammonium Bisulfite$,$ammonium bisulfite$,$not a company$,$curated$
$Ammonium Persulfate$,$ammonium persulfate$,$not a company$,$curated$
$AMMONIUM PERSULFATE  BREAKER   AMMONIUM PERSULFATE$,$ammonium persulfate  breaker   ammonium persulfate$,$not a company$,$curated$
$AMMONIUM PERSULFATE/BREAKER$,$ammonium persulfate/breaker$,$not a company$,$curated$
$ammonium, (2-Hydroxyet hyl)trimethyl-, chlorode$,$ammonium, (2-hydroxyet hyl)trimethyl-, chlorode$,$not a company$,$curated$
$AMP Chemical$,$amp chemical$,$amp chemical$,$curated$
$Ampak Oil Company$,$ampak oil company$,$ampak oil company$,$curated$
$Amplify Energy Corp$,$amplify energy corp$,$amplify energy corp$,$curated$
$Amrox$,$amrox$,$amrox$,$curated$
$AMROX Chem$,$amrox chem$,$amrox$,$curated$
$AMTEX ENERGY, INC$,$amtex energy, inc$,$amtex energy$,$curated$
$Anadarko$,$anadarko$,$anadarko petroleum$,$curated$
$ANADARKO$,$anadarko$,$anadarko petroleum$,$curated$
$ANADARKO E&P$,$anadarko e&p$,$anadarko petroleum$,$curated$
$Anadarko Petro.Corp.$,$anadarko petro.corp.$,$anadarko petroleum$,$curated$
$Anadarko Petrolem$,$anadarko petrolem$,$anadarko petroleum$,$curated$
$Anadarko Petroleum$,$anadarko petroleum$,$anadarko petroleum$,$curated$
$ANADARKO PETROLEUM$,$anadarko petroleum$,$anadarko petroleum$,$curated$
$Anadarko petroleum$,$anadarko petroleum$,$anadarko petroleum$,$curated$
$Anadarko Petroleum Company$,$anadarko petroleum company$,$anadarko petroleum$,$curated$
$Anadarko Petroleum Corp$,$anadarko petroleum corp$,$anadarko petroleum$,$curated$
$Anadarko Petroleum Corp (Rocky Mountain)$,$anadarko petroleum corp (rocky mountain)$,$anadarko petroleum$,$curated$
$Anadarko Petroleum Corp.$,$anadarko petroleum corp.$,$anadarko petroleum$,$curated$
